cat_id,job_id,title,date,brand,location,url,close
391,26139685376,"H/H, Merchandise–Hongqiao Airport Store",2022-03-27,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/h-h-merchandise-hongqiao-airport-store/391/26139685376,2022-05-09
391,26150444112,"Exec Asst, Walt Disney Imagineering",2022-03-27,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/exec-asst-walt-disney-imagineering/391/26150444112,2022-04-26
391,26149998512,PMO/BD- Telugu,2022-03-28,Disney+ Hotstar,"Hyderabad, India",https://jobs.disneycareers.com/job/hyderabad/pmo-bd-telugu/391/26149998512,-
391,26192258656,"Data Analyst, Disney+",2022-03-28,Disney Streaming,"Melbourne, Australia",https://jobs.disneycareers.com/job/melbourne/data-analyst-disney/391/26192258656,-
391,26216960336,Director Product - Identity Platforms,2022-03-28,Disney Streaming,"New York, New York, United States",https://jobs.disneycareers.com/job/new-york/director-product-identity-platforms/391/26216960336,-
391,26229767216,HR Data & Process Analyst (IA),2022-03-28,The Walt Disney Studios,"Burbank, California, United States / United States",https://jobs.disneycareers.com/job/burbank/hr-data-and-process-analyst-ia/391/26229767216,2022-04-29
391,19757793040,"Researcher, Disney Research Imagineering",2022-03-29,Disney Research,"Glendale, California, United States / Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/glendale/researcher-disney-research-imagineering/391/19757793040,2022-05-01
391,22783767312,Effects Animator,2022-03-29,Walt Disney Animation Studios,"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/effects-animator/391/22783767312,-
391,26208290944,Lead Product Designer UX H/F - CDI,2022-03-29,Disneyland Paris,"Chessy, France",https://jobs.disneycareers.com/job/chessy/lead-product-designer-ux-h-f-cdi/391/26208290944,2022-04-27
391,26208292368,Lead Product Designer UI H/F - CDI,2022-03-29,Disneyland Paris,"Chessy, France",https://jobs.disneycareers.com/job/chessy/lead-product-designer-ui-h-f-cdi/391/26208292368,2022-04-27
391,26304165456,PH-Mechanical Engineer,2022-03-29,Walt Disney Imagineering,"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/ph-mechanical-engineer/391/26304165456,-
391,4534137840,"Host/ Hostess, Bell Services - ￥2500 Sign-on Bonus",2022-03-30,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/host-hostess-bell-services-2500-sign-on-bonus/391/4534137840,2022-05-09
391,26387015248,Senior Finance Analyst - FMCG,2022-03-31,"Parks, Experiences and Products","London, United Kingdom",https://jobs.disneycareers.com/job/london/senior-finance-analyst-fmcg/391/26387015248,2022-04-29
391,26421625344,WDI Visual Effects Design Intern – Glendale – Summer/Fall 2022,2022-03-31,Walt Disney Imagineering,"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/wdi-visual-effects-design-intern-glendale-summer-fall-2022/391/26421625344,-
391,26435816656,WDI Producer Design Services Intern (Orlando) - Summer/Fall 2022,2022-03-31,Walt Disney Imagineering,"Orlando, Florida, United States",https://jobs.disneycareers.com/job/orlando/wdi-producer-design-services-intern-orlando-summer-fall-2022/391/26435816656,-
391,26435839936,WDI Graphic Design Internship (Orlando) – Summer/Fall 2022,2022-03-31,Walt Disney Imagineering,"Orlando, Florida, United States",https://jobs.disneycareers.com/job/orlando/wdi-graphic-design-internship-orlando-summer-fall-2022/391/26435839936,-
391,26377407008,Manager-Programming Strategy& Insights,2022-04-01,Star,"Mumbai, India",https://jobs.disneycareers.com/job/mumbai/manager-programming-strategy-and-insights/391/26377407008,2022-04-27
391,25351505360,"Health & Safety Supervisor, Marketing and Content (PH)",2022-04-03,The Walt Disney Studios,"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/health-and-safety-supervisor-marketing-and-content-ph/391/25351505360,2022-05-06
391,26601275040,R&D Imagineer Sr. - Mechanical Design Engineer,2022-04-03,Walt Disney Imagineering,"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/r-and-d-imagineer-sr-mechanical-design-engineer/391/26601275040,-
391,26637703936,"Culinary Cook 2 (Prep Cook)- Part Time, Walt Disney World",2022-04-04,Walt Disney World Resort,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/culinary-cook-2-prep-cook-part-time-walt-disney-world/391/26637703936,2022-05-10
391,26637704064,"Culinary Cook 2 (Prep Cook)- Full Time, Walt Disney World",2022-04-04,Walt Disney World Resort,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/culinary-cook-2-prep-cook-full-time-walt-disney-world/391/26637704064,2022-05-10
391,26688731728,Procurement Spend Analyst,2022-04-05,The Walt Disney Company (Corporate),"Melbourne, Australia",https://jobs.disneycareers.com/job/melbourne/procurement-spend-analyst/391/26688731728,-
391,26688732128,Creative Services Executive,2022-04-05,Disney Media & Entertainment Distribution,"Melbourne, Australia",https://jobs.disneycareers.com/job/melbourne/creative-services-executive/391/26688732128,-
391,26713166704,Senior Financial Reporting Analyst,2022-04-05,The Walt Disney Company (Corporate),"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/senior-financial-reporting-analyst/391/26713166704,-
391,26724244240,WDI Set Decoration Internship (Orlando) – Summer/Fall 2022,2022-04-05,Walt Disney Imagineering,"Orlando, Florida, United States",https://jobs.disneycareers.com/job/orlando/wdi-set-decoration-internship-orlando-summer-fall-2022/391/26724244240,2022-05-10
391,26421612896,Workflow TD,2022-04-06,The Walt Disney Studios,"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/workflow-td/391/26421612896,-
391,26761268944,Land Surveyor- Infrastructure Program Development,2022-04-06,"Parks, Experiences and Products","Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/land-surveyor-infrastructure-program-development/391/26761268944,2022-04-29
391,26779112624,Streaming Media Assistant,2022-04-06,Disney Streaming,"San Francisco, California, United States",https://jobs.disneycareers.com/job/san-francisco/streaming-media-assistant/391/26779112624,2022-05-02
391,26800277248,Associate R&D Imagineer - Creative Technologist,2022-04-07,Walt Disney Imagineering,"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/associate-r-and-d-imagineer-creative-technologist/391/26800277248,-
391,26822891040,PH-Production Designer,2022-04-07,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/ph-production-designer/391/26822891040,2022-04-26
391,26829879952,"Manager, Product Design - Globalization",2022-04-07,Disney Streaming,"New York, New York, United States",https://jobs.disneycareers.com/job/new-york/manager-product-design-globalization/391/26829879952,-
391,26812101776,Executive Director/ Director of Product- Customer Experience,2022-04-08,Disney+ Hotstar,"Bengaluru, India / Gurgaon, India / Mumbai, India",https://jobs.disneycareers.com/job/bengaluru/executive-director-director-of-product-customer-experience/391/26812101776,-
